[2024-12-23T20:05:06.337+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:06:15.690+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000030.mp3
[2024-12-23T20:06:18.062+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000031.mp3
[2024-12-23T20:06:20.403+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000032.mp3
[2024-12-23T20:06:22.667+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000033.mp3
[2024-12-23T20:06:25.016+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000034.mp3
[2024-12-23T20:06:27.392+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000035.mp3
[2024-12-23T20:06:29.688+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000036.mp3
[2024-12-23T20:06:31.941+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000037.mp3
[2024-12-23T20:06:34.320+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000038.mp3
[2024-12-23T20:06:36.696+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000039.mp3
[2024-12-23T20:06:39.054+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000040.mp3
[2024-12-23T20:06:41.478+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000041.mp3
[2024-12-23T20:06:43.725+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000042.mp3
[2024-12-23T20:06:46.162+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000043.mp3
[2024-12-23T20:06:48.596+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000044.mp3
[2024-12-23T20:06:50.846+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000045.mp3
[2024-12-23T20:06:53.125+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000046.mp3
[2024-12-23T20:06:55.519+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000047.mp3
[2024-12-23T20:06:57.853+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000048.mp3
[2024-12-23T20:07:00.320+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000049.mp3
[2024-12-23T20:07:02.720+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000050.mp3
[2024-12-23T20:07:05.128+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000051.mp3
[2024-12-23T20:07:07.411+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000052.mp3
[2024-12-23T20:07:09.745+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000053.mp3
[2024-12-23T20:07:12.016+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000054.mp3
[2024-12-23T20:07:14.310+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000055.mp3
[2024-12-23T20:07:16.606+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000056.mp3
[2024-12-23T20:07:18.916+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000057.mp3
[2024-12-23T20:07:21.209+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000058.mp3
[2024-12-23T20:07:23.536+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000059.mp3
[2024-12-23T20:07:25.949+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000060.mp3
[2024-12-23T20:07:28.362+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000061.mp3
[2024-12-23T20:07:30.654+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000062.mp3
[2024-12-23T20:07:32.968+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000063.mp3
[2024-12-23T20:07:35.311+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000064.mp3
[2024-12-23T20:07:37.613+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000065.mp3
[2024-12-23T20:07:39.909+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000066.mp3
[2024-12-23T20:07:42.216+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000067.mp3
[2024-12-23T20:07:44.512+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000068.mp3
[2024-12-23T20:07:46.902+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000069.mp3
[2024-12-23T20:07:49.233+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000070.mp3
[2024-12-23T20:07:51.503+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000071.mp3
[2024-12-23T20:07:53.841+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000072.mp3
[2024-12-23T20:07:56.146+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000073.mp3
[2024-12-23T20:07:58.435+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000074.mp3
[2024-12-23T20:08:00.774+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000075.mp3
[2024-12-23T20:08:03.042+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000076.mp3
[2024-12-23T20:08:05.312+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000077.mp3
[2024-12-23T20:08:07.568+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000078.mp3
[2024-12-23T20:08:10.058+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000079.mp3
[2024-12-23T20:08:12.463+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000080.mp3
[2024-12-23T20:08:14.737+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000081.mp3
[2024-12-23T20:08:17.029+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000082.mp3
[2024-12-23T20:08:19.301+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000083.mp3
[2024-12-23T20:08:21.654+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000084.mp3
[2024-12-23T20:08:23.936+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000085.mp3
[2024-12-23T20:08:26.193+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000086.mp3
[2024-12-23T20:08:28.527+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000087.mp3
[2024-12-23T20:08:30.821+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000088.mp3
[2024-12-23T20:08:33.249+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000090.mp3
[2024-12-23T20:08:35.582+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000092.mp3
[2024-12-23T20:08:37.869+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000093.mp3
[2024-12-23T20:08:40.249+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000094.mp3
[2024-12-23T20:08:42.525+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000095.mp3
[2024-12-23T20:08:44.805+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000096.mp3
[2024-12-23T20:08:47.118+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000097.mp3
[2024-12-23T20:08:49.410+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000098.mp3
[2024-12-23T20:08:51.667+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000099.mp3
[2024-12-23T20:08:53.978+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000100.mp3
[2024-12-23T20:08:56.310+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000101.mp3
[2024-12-23T20:08:58.745+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000102.mp3
[2024-12-23T20:09:00.939+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000103.mp3
[2024-12-23T20:09:03.289+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000104.mp3
[2024-12-23T20:09:05.620+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000105.mp3
[2024-12-23T20:09:07.916+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000106.mp3
[2024-12-23T20:09:10.307+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000107.mp3
[2024-12-23T20:09:12.598+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000108.mp3
[2024-12-23T20:09:14.880+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000109.mp3
[2024-12-23T20:09:17.169+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000110.mp3
[2024-12-23T20:09:19.536+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000111.mp3
[2024-12-23T20:09:21.809+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000112.mp3
[2024-12-23T20:09:24.054+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000113.mp3
[2024-12-23T20:09:26.337+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000114.mp3
[2024-12-23T20:09:28.669+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000115.mp3
[2024-12-23T20:09:30.951+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000116.mp3
