[2024-12-23T17:17:37.580+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T17:17:37.617+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.629+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.630+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T17:17:37.647+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 17:17:32.821041+00:00
[2024-12-23T17:17:37.659+0000] {standard_task_runner.py:63} INFO - Started process 241 to run task
[2024-12-23T17:17:37.662+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T17:17:32.821041+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmp8szkq4eg']
[2024-12-23T17:17:37.665+0000] {standard_task_runner.py:91} INFO - Job 136: Subtask image_to_datalake
[2024-12-23T17:17:37.733+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T17:20:17.351+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000069.jpg
[2024-12-23T17:20:19.704+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000070.jpg
[2024-12-23T17:20:22.039+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000071.jpg
[2024-12-23T17:20:24.338+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000072.jpg
[2024-12-23T17:20:26.621+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000073.jpg
[2024-12-23T17:20:28.911+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000074.jpg
[2024-12-23T17:20:31.231+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000075.jpg
[2024-12-23T17:20:33.548+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000076.jpg
[2024-12-23T17:20:35.932+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000077.jpg
[2024-12-23T17:20:38.199+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000078.jpg
[2024-12-23T17:20:40.488+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000079.jpg
