[2024-12-23T20:05:06.351+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:05:06.400+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.416+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T20:05:02.640785+00:00 [queued]>
[2024-12-23T20:05:06.418+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T20:06:15.321+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000030.jpg
[2024-12-23T20:06:17.664+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000031.jpg
[2024-12-23T20:06:20.055+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000032.jpg
[2024-12-23T20:06:22.382+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000033.jpg
[2024-12-23T20:06:24.655+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000034.jpg
[2024-12-23T20:06:26.996+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000035.jpg
[2024-12-23T20:06:29.354+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000036.jpg
[2024-12-23T20:06:31.669+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000037.jpg
[2024-12-23T20:06:33.954+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000038.jpg
[2024-12-23T20:06:36.326+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/01/20240100000039.jpg
