[2024-12-23T11:12:58.009+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T11:14:55.489+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000050.mp3
[2024-12-23T11:14:57.811+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000051.mp3
[2024-12-23T11:15:00.090+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000052.mp3
[2024-12-23T11:15:02.398+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000053.mp3
[2024-12-23T11:15:04.707+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000054.mp3
[2024-12-23T11:15:07.005+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000055.mp3
[2024-12-23T11:15:09.339+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000056.mp3
[2024-12-23T11:15:11.625+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000057.mp3
[2024-12-23T11:15:13.955+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000058.mp3
[2024-12-23T11:15:16.339+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000059.mp3
[2024-12-23T11:15:18.611+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000060.mp3
[2024-12-23T11:15:20.930+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000061.mp3
[2024-12-23T11:15:23.216+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000062.mp3
[2024-12-23T11:15:25.503+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000063.mp3
[2024-12-23T11:15:27.787+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000064.mp3
[2024-12-23T11:15:30.039+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000065.mp3
[2024-12-23T11:15:32.300+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000066.mp3
[2024-12-23T11:15:34.602+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000067.mp3
[2024-12-23T11:15:36.925+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000068.mp3
